zeichnung;ventiltype;innenrate;aussenrate;beipruefdruck;innenzeit;aussenzeit;bemerkungen;modifiedBy
A103175;DIA54/94CD;0,575;0,503;5;_;_;_;
103424;DIA22/1–46CD;0,062;0,134;5;_;_;HOEFRA 02.2547;
110306;DIA46/2–81CD;0,32;0,306;5;_;_;_;
110307;DIA19/1-38C;0,056;0,099;5;_;_;_;
110582;DIA46/2–81CD;0,32;0,433;5;_;_;_;
112607;30R1/58C;0,13;0,171;5;_;_;HKS 02.1926;
112608;42R2/78CD;0,292;0,357;5;_;_;_;
112611;DIA13/1-DIA71/2;0,03;0,514;5;_;_;_;
112664;42R2/70CD;0,292;0,35;5;_;_;HOEFRA 02.1540;
112708;150CE/79R1;0,975;1,17;5;_;_;HKS 02.1589;
113335;DIA30/1-55C;0,137;0,138;5;_;_;_;
113955;40CD/66C;0,202;0,193;5;_;_;HOEFRA 02.1571;
114785;DIA23,5/1–46C;0,067;0,134;5;_;_;HOEFRA 02.7287;
115660;52RX/86CD;0,382;0,487;5;_;_;52 R2/86 CD 051989;
115904;DIA131/1-DIA101/2;0,839;0,717;5;_;_;Lt. Hr. Fügl nur Innenseite prüfen;
115916;150CE/79R1;0,975;1,17;5;_;_;150 CE/98 R4 128360;
115917;150CE/98R4;1,462;1,17;5;_;_;_;
116881;DIA30/1-55C;0,12;0,162;5;_;_;HOEFRA 02.1978;
116883;DIA19/1-38C;0,052;0,108;5;_;_;HOEFRA 02.1832;
117240;79RS–120CD/II;0,889;0,67;5;_;_;HOEFRA 02.1938;
118017;24R1/46C;_;_;100/70;1,04;0,75;HOEFRA 02.2848;
118018;16R/36C;0,105;0,043;5;_;_;_;
118185;DIA54/3X–82CD;0,568;0,453;5;_;_;Innen.Prüfung mögl./ Außen 60RX/87CD: 125953;
118488;DIA162/98R1;1,323;1,736;5;_;_;HKS 02.3789;
119104;30R1/58C;0,13;0,171;5;_;_;HOEFRA 02.2238;
119188;DIA54/2X–85CD;0,383;0,466;5;_;_;_;
119191;105R4X/165CE;1,785;1,365;5;_;_;105 R1/164 CE 087627;
119216;60R2/94CD;0,65;0,515;5;_;_;60 R2/86 CD 088080;
119340;DIA82–DIA82;0,419;0,419;5;_;_;HKS 02.3805;
119563;207CE/134R1;2,38;1,615;5;_;_;HKS 02.2886 Nur Innenseite;
121321;DIA58/2-DIA91/1;0,52;0,515;5;_;_;60 R2/94 CD 529284;
121322;DIA30–DIA55;0,142;0,162;5;_;_;HOEFRA 02.2750;
121347;37R1/62C;0,181;0,186;5;_;_;37R/62C 456910 + 37R1/62C 416912;
121534;42R/70CD;0,341;0,351;5;_;_;HOEFRA 02.1889;
121561;60RX/104CD;0,647;0,585;5;_;_;_;
