ValveType;Pressure;Vessel;Time;Rate;Bemerkungen;ModifiedBy
164CKDK; 4/2;10;0,28;4,168;486383: PF 164CJD/575685;stu
100CDX;_;0;0;0,515;;
100CEDK;_;0;0;0,948;;
100CEK;_;0;0;0,95;;
100CFD; 4/2;5;0,44;1,36;;
100CFK; 4/2;5;0,44;1,365;;
100CFM;_;0;0;1,343;;
100CGD; 4/2;5;0,4;1,482;;
100CGDK; 4/2;5;0,4;1,478;;
100CGK; 4/2;5;0,4;1,478;;
100CGT; 4/2;5;0,42;1,4;;
100ED; 4/3;5;0,26;0,948;;
100FD; 4/2;5;0,44;1,36;;
101CEE;_;0;0;0,92;SV WA3874: PF 119CEDK 587987;
101CEW;_;0;0;0,92;;
101CJY; 4/2;5;0,27;2,157;;
101HY; 4/2;5;0,29;2,066;;
102CDP;_;0;0;0,498;;
102CFT;_;0;0;1,121;;
102CT;_;0;0;1,116;;
103CFS;_;0;0;1,287;;
105CROK; 4/2;5;0,33;1,785;;
105CRXK; 4/2;5;0,33;1,785;572043: PF;
105R; 4/2;5;0,33;1,785;;
105RO; 4/2;5;0,33;1,785;;
105RX; 4/2;5;0,33;1,785;;
106CF16; 4/2;5;0,46;1,294;;
106CF16K; 4/2;5;0,46;1,294;;
106CFD; 4/2;5;0,5;1,179;;
106CFDK; 4/2;5;0,5;1,179;;
106CFK; 4/2;5;0,5;1,179;;
106CFO; 4/2;5;0,5;1,179;;
106CFOK; 4/2;5;0,5;1,179;;
107CFS; 4/2;5;0,46;1,292;;
107CFSF; 4/2;5;0,46;1,292;;
108A; 4/2;1;0,39;0,307;;
109CD1;_;0;0;0,432;;
109CDP;_;0;0;0,432;;
109CEK;_;0;0;0,87;439357: PF 79R2/120CD 041879 + 439357;
109CFDK;_;0;0;1,438;;
109CG2; 4/2;5;0,38;1,564;;
109CGD; 4/2;5;0,38;1,571;;
109CGDK; 4/2;5;0,38;1,569;;
109CGK; 4/2;5;0,38;1,569;;
109F3D; 4/2;5;0,41;1,438;;
10R; 4/3;1;1,9;0,026;RV 484971: Vorrichtung!;
110CDX;_;0;0;0,578;SV 599271: PF 119CEDK 587987/588097;
110CE; 4/2;5;0,61;0,967;;
110CEK;_;0;0;0,906;;
110CEK+PLUG;_;0;0;0,998;;
110CGD; 4/2;5;0,32;1,882;;
110CGDK; 4/2;5;0,32;1,88;;
110CGK; 4/2;5;0,32;1,889;;
110CGM;_;0;0;1,778;;
110CHD; 4/2;5;0,3;1,955;;
110CHDK; 4/2;5;0,3;1,998;;
110CHK;_;0;0;1,159;;
110D2; 4/3;5;0,44;0,562;;
110GD; 4/2;5;0,32;1,882;;
112CEE;_;0;0;1,06;;
112CEW;_;0;0;1,06;;
113EH3; 4/2;5;0,55;1,072;;
116CGT; 4/2;5;0,4;1,49;;
116CGTO; 4/2;5;0,4;1,49;;
117CRK; 4/2;5;0,3;1,999;;
117CRO; 4/2;5;0,3;1,999;;
117CROK; 4/2;5;0,3;1,999;;
117CRXK; 4/2;5;0,3;1,999;;
117R; 4/2;5;0,3;1,999;267283: PF 117R1 044128;
117RO; 4/2;5;0,3;1,998;;
117RX; 4/2;5;0,3;1,999;;
117RY; 4/2;5;0,3;1,998;;
118CDP; 4/2;5;0,46;0,538;;
119CEK;_;5;0;0,948;;
119CGD; 4/2;5;0,29;2,048;;
119CGDK; 4/2;5;0,29;2,048;462615: PF 119CEDK 587987/588097;
119CGK; 4/2;5;0,29;2,047;;
119CGOK; 4/2;5;0,29;2,047;;
119CHD; 4/2;5;0,27;2,174;;
119CHDK; 4/2;5;0,27;2,174;;
119CHK; 4/2;5;0,27;2,174;;
119GD; 4/2;5;0,29;2,048;;
119GO; 4/2;5;0,29;2,047;;
120CEX;_;0;0;0,966;;
121CES;_;0;0;1,194;;
121CGM;_;0;0;2,055;;
121CGS; 4/2;5;0,36;1,662;;
122CFE;_;0;0;1,48;;
122CFW;_;0;0;1,48;;
122R10;_;0;0;1,443;;
124CEK;_;0;0;0,992;;
124CEK+PLUG;_;0;0;1,084;;
124CFDK; 4/2;5;0,36;1,625;;
124CFK; 4/2;5;0,36;1,625;;
124CFO; 4/2;5;0,36;1,628;;
124CG2; 4/2;5;0,34;1,759;;
124CGD; 4/2;5;0,34;1,759;;
124CGDK; 4/2;5;0,34;1,759;;
124F3D; 4/2;5;0,36;1,626;;
124FD; 4/2;5;0,36;1,62;;
124FO; 4/2;5;0,34;1,626;;
125CED; 4/2;5;0,54;1,107;;
126CF20; 4/2;5;0,38;1,55;;
126CF3; 4/2;5;0,38;1,55;;
126CFD; 4/2;5;0,42;1,41;;
126CFDK; 4/2;5;0,42;1,413;;
126CFK; 4/2;5;0,42;1,413;;
126CFO; 4/2;5;0,42;1,41;;
126CFOK; 4/2;5;0,42;1,41;;
126D2; 4/3;5;0,41;0,612;;
126DO; 4/2;5;0,97;0,614;;
127CGOT; 4/2;5;0,32;1,84;;
127CGT; 4/2;5;0,32;1,839;487545: PF 122CFW 437328;
130A; 4/2;1;0,32;0,375;;
130CEX;_;0;0;1,092;;
131CHM;_;0;0;2,553;;
132CD;_;0;0;0,743;;
132CED; 4/2;5;0,49;1,209;;
132CFDK; 4/2;5;0,34;1,717;;
132F3D; 4/2;5;0,34;1,717;;
132FD; 4/2;5;0,34;1,718;;
133CES;_;0;0;1,082;593938: PF;
133CEW;_;0;0;1,047;;stu
133CEW+PLUG;_;0;0;1,17;;stu
133CFE;_;0;0;1,69;;
133CFS;_;0;0;1,648;;
133CFW;_;0;0;1,69;;
133CGS; 4/2;5;0,31;1,94;;
134CFDK;_;0;0;1,966;;
134CG; 4/2;5;0,25;2,388;;
134CGD; 4/2;5;0,25;2,379;;
134CGDK; 4/2;5;0,25;2,379;;
134CGK; 4/2;5;0,25;2,376;;
134CGOK; 4/2;5;0,25;2,381;;
134CGS; 4/2;5;0,31;1,94;;
134CHD; 4/2;5;0,23;2,535;;
134CHDK; 4/2;5;0,23;2,535;486498: PF 134CFDK/588020;
134CRK; 4/2;5;0,25;2,376;;
134CROK; 4/2;5;0,25;2,376;;
134GD; 4/2;5;0,25;2,379;;
134R; 4/2;5;0,25;2,374;418067: PF 484448;
134RO; 4/2;5;0,25;2,374;;
136CHK; 4/2;5;0,21;2,886;;
136CHOK; 4/2;5;0,21;2,886;;
136H; 4/2;5;0,21;2,888;;
137CHT; 4/2;5;0,27;2,194;;
13AK;_;0;0;0,034;468723+498019+498033:PF 410703;
140CEX;_;0;0;1,218;599857: PF 580693;
140CGD;_;0;0;2,34;;
142CHM;_;0;0;2,898;;
143CEK;_;0;0;1,152;;
143CFDK;_;0;0;1,905;;
143CG2; 4/2;5;0,29;2,065;;
143CGD; 4/2;5;0,29;2,065;;
143CGDK; 4/2;5;0,29;2,065;;
143CGK; 4/2;5;0,29;2,067;;
143CGO; 4/2;5;0,29;2,069;;
143CGOK; 4/2;5;0,29;2,061;;
143EH3; 4/2;5;0,46;1,295;;
143EHO; 4/2;5;0,46;1,295;;
143F3D; 4/2;5;0,31;1,905;;
143FO; 4/2;10;0,62;1,904;;
144CFE;_;0;0;1,89;;
144CFW;_;0;0;1,89;;
144CGS;_;0;0;2,39;;
144R10;_;0;0;1,852;;
145A; 4/2;1;0,28;0,421;;
145CFD;_;0;0;1,869;;
145CHD; 4/2;10;0,39;3,062;;
145CHDK; 4/2;10;0,39;3,062;486446+596242: PF 580693;
145CHK; 4/2;10;0,39;3,062;DV 472075: 145CHD 404216;
145CHOK; 4/2;10;0,39;3,06;;
145CJD; 4/2;10;0,37;3,208;;
145CRK; 4/2;10;0,39;3,062;;
145HD; 4/2;10;0,39;3,062;;
145R; 4/2;10;0,39;3,062;;
146GN3; 4/2;10;0,55;2,137;;
147CEW;_;0;0;1,7;;stu
147CEW+PLUG;_;0;0;1,868;;stu
147CHT; 4/2;10;0,47;2,497;;
148CES;_;0;0;1,208;;
148CGS; 4/2;10;0,49;2,396;;
148CHS; 4/2;10;0,47;2,512;;
148CHT; 4/2;10;0,45;2,608;;
150CEX;_;0;0;1,344;;
152CJM;_;0;0;3,212;;
154CE;_;0;0;1,685;;
154CF; 4/2;5;0,31;1,931;;
154CFD; 4/2;5;0,31;1,931;;
154CFDK;_;0;0;2,084;;
154CGE;_;0;0;2,38;;
154CGW;_;0;0;2,38;;
154CHD; 4/2;10;0,36;3,276;;
154CHDK; 4/2;10;0,36;3,277;;
154CHK; 4/2;10;0,36;3,276;;
154CHOK; 4/2;10;0,36;3,273;;
154CJD; 4/2;10;0,35;3,432;;
154CJDK; 4/2;10;0,35;3,432;;
154CRK;_;0;0;3,276;;
154CROK;_;0;0;3,273;;
154F3D; 4/2;5;0,28;2,089;;
154FH3; 4/2;5;0,31;1,927;;
154HD; 4/2;10;0,36;3,276;;
154HDO; 4/2;10;0,36;3,276;;
154R; 4/2;10;0,36;3,276;;
154RE; 4/2;10;0,36;3,274;;
154RO; 4/2;10;0,36;3,276;;
155P06A1;_;0;0;0,911;;
157CFDK;_;0;0;2,309;;
157CG2; 4/2;5;0,26;2,308;;
157CGD; 4/2;5;0,26;2,308;;
157CGDK; 4/2;5;0,26;2,308;;
157CGK; 4/2;5;0,26;2,308;;
157CGO; 4/2;5;0,26;2,308;;
158CHT; 4/2;10;0,41;2,915;;
158CJT; 4/2;10;0,39;3,023;;
15A; 4/3;1;1,28;0,039;SV 126651: PF / 422167: SV 126651+WA1244 / WA1244: PF+126651;
15AK; 4/3;1;1,28;0,039;;
15R; 4/3;1;1,25;0,04;;
160CES;_;0;0;1,677;;
160CEX;_;0;0;1,469;599842: PF 575685;
160CHS; 4/2;10;0,41;2,861;;
161CHS; 4/2;10;0,4;2,979;;
164CJD; 4/2;10;0,29;4,022;;
164CJDK; 4/2;10;0,29;4,022;WA0248: PF 598591;
164CJK; 4/2;10;0,29;4,021;;
164CJO; 4/2;10;0,29;4,025;;
164CJOK; 4/2;10;0,29;4,024;;
164CKD; 4/2;10;0,28;4,168;;
164CRK; 4/2;10;0,29;4,046;;
164CROK; 4/2;10;0,29;4,046;;
164JD; 4/2;10;0,29;4,022;;
164R; 4/2;10;0,29;4,046;;
165CGE;_;0;0;2,65;;
165CGW;_;0;0;2,65;;
165F; 4/2;10;0,52;2,31;;
166EH3; 4/2;5;0,39;1,508;;
166EHO; 4/2;5;0,39;1,508;;
168CJT; 4/2;10;0,35;3,395;;
169CEP; 4/3;10;0,41;1,218;;
169CJT; 4/2;10;0,34;3,503;;
16R; 4/3;1;1,24;0,044;;
170CEX;_;0;0;1,595;;
172CGD; 4/2;10;0,41;2,886;;
172CGDK; 4/2;10;0,41;2,886;;
172CGK; 4/2;10;0,41;2,888;;
172CGO; 4/2;10;0,41;2,888;;
172CGOK; 4/2;10;0,41;2,888;;
172FH3; 4/2;5;0,27;2,168;;
172G3D; 4/2;10;0,41;2,888;;
172GD; 4/2;10;0,41;2,673;;
172GO; 4/2;10;0,41;2,888;;
173CG2; 4/2;10;0,41;2,876;;
173F; 4/2;10;0,48;2,44;;
